WARNING (------): DXF version not recognised or not release 12-15.
ASCII DXF release 15 is recommended
XRECORD: name="ACDB_RECOMPOSE_DATA", handle="4C1", group="280", value="     1"
WARNING (043406): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043408): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043410): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043412): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043414): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043416): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043418): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043420): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043422): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043424): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043426): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043428): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043430): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043432): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043434): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043436): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043438): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043440): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043442): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043444): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043446): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043448): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043450): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043452): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043454): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043456): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043458): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043460): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043462): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043464): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043466): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043468): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043470): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043472): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043474): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043476): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043478): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043480): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043482): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043484): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043486): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043488): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043490): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043492): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043494): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043496): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043498): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043500): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043502): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043504): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043506): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043508): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043510): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043512): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043514): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043516): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043518): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043520): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043522): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043524): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043526): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043528): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043530): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043532): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043534): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043536): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043538): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043540): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043542): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043544): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043546): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043548): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043550): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043552): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043554): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043556): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043558): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043560): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043562): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043564): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043566): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043568): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043570): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043572): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043574): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043576): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043578): XRECORD object group 311 unknown/not supported - ignored.
WARNING (043580): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043582): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043584): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043586): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043588): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043590): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043592): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043594): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043596): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043598): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043600): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043602): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043604): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043606): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043608): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043610): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043612): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043614): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043616): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043618): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043620): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043622): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043624): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043626): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043628): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043630): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043632): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043634): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043636): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043638): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043640): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043642): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043644): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043646): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043648): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043650): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043652): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043654): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043656): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043658): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043660): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043662): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043664): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043666): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043668): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043670): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043672): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043674): XRECORD object group 310 unknown/not supported - ignored.
WARNING (043676): XRECORD object group 310 unknown/not supported - ignored.
